Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:03:56 PM     all      2.27      0.00      0.56      0.40      0.00     96.77
01:04:01 PM     all      0.90      0.00      0.20      2.36      0.00     96.54
01:04:06 PM     all      0.70      0.00      0.15      0.40      0.00     98.74
01:04:11 PM     all      1.62      0.00      0.81      0.71      0.00     96.87
01:04:16 PM     all      0.80      0.00      0.30      1.11      0.00     97.79
01:04:21 PM     all      0.70      0.00      0.30      0.35      0.00     98.64
01:04:26 PM     all      0.65      0.00      0.20      0.15      0.00     99.00
01:04:31 PM     all      0.70      0.00      0.25      0.40      0.00     98.64
01:04:36 PM     all      0.60      0.00      0.25      0.15      0.00     99.00
01:04:41 PM     all      0.40      0.00      0.30      0.35      0.00     98.94
01:04:46 PM     all      1.56      0.00      0.45      0.15      0.00     97.84
01:04:51 PM     all      0.70      0.00      0.35      0.30      0.00     98.65
01:04:56 PM     all      1.46      0.00      0.81      0.25      0.00     97.48
01:05:01 PM     all      0.65      0.00      0.20      0.40      0.00     98.74
01:05:06 PM     all      0.50      0.00      0.30      0.20      0.00     99.00
01:05:11 PM     all      0.96      0.00      0.55      0.35      0.00     98.13
01:05:16 PM     all      0.95      0.00      0.45      0.20      0.00     98.39
01:05:21 PM     all      1.36      0.00      0.50      0.40      0.00     97.74
01:05:26 PM     all      0.75      0.00      0.15      0.30      0.00     98.79
01:05:31 PM     all      0.90      0.00      0.35      0.40      0.00     98.34
01:05:36 PM     all      0.55      0.00      0.35      0.20      0.00     98.90
01:05:41 PM     all      0.70      0.00      0.30      0.40      0.00     98.60
01:05:46 PM     all      0.70      0.00      0.35      0.20      0.00     98.75
01:05:51 PM     all      1.41      0.00      0.50      0.30      0.00     97.79
01:05:56 PM     all      2.53      0.00      0.61      0.25      0.00     96.62
01:06:01 PM     all      0.65      0.00      0.25      0.35      0.00     98.74
01:06:06 PM     all      0.60      0.00      0.15      0.20      0.00     99.05
01:06:11 PM     all      0.86      0.00      0.51      0.40      0.00     98.23
01:06:16 PM     all      0.45      0.00      0.40      0.10      0.00     99.05
